bbl,subsidized_today
1012230020,1
1012230125,1
1012237501,8
1012237502,3
1012237503,112
1012237504,28
1012240001,10
1012240023,4
1012240029,0
1012240038,1
1012240054,1
1012240058,0
1012250001,0
1012250017,6
1012250023,2
1012250029,0
1012250052,1
1012250055,6
1012260009,2
1012260010,3
1012260012,2
1012260013,1
1012260015,3
1012260016,1
1012260026,1
1012260029,7
1012260037,7
1012260039,6
1012260040,10
1012260043,1
1012260045,0
1012260108,7
1012270022,2
1012270025,5
1012270026,1
1012270027,3
1012270033,1
1012270034,1
1012270035,4
1012270036,3
1012270037,3
1012270038,2
1012270039,3
1012270040,6
1012270041,4
1012270042,2
1012270061,19
1012270063,27
1012270123,5
1012280001,14
1012280013,14
1012280023,3
1012280025,6
1012280026,5
1012280027,5
1012280028,6
1012280029,6
1012280030,3
1012280031,2
1012280032,3
1012280033,3
1012280034,3
1012280036,29
1012280037,10
1012280039,3
1012280061,7
1012290006,5
1012290008,4
1012290029,1
1012290033,3
1012290034,2
1012290035,1
1012290036,2
1012290037,22
1012290039,3
1012290040,2
1012290041,10
1012290042,11
1012290043,12
1012290045,4
1012290047,2
1012290049,1
1012297501,1
1012297502,32
1012300029,2
1012300030,6
1012300031,5
1012300032,3
1012300034,1
1012300035,2
1012300036,3
1012300037,1
1012300043,27
1012300133,6
1012300135,1
1012307501,1
1012310007,14
1012310026,64
1012310029,4
1012310030,32
1012310031,3
1012310036,4
1012310039,0
1012310040,40
1012310059,1
1012320029,7
1012320031,4
1012320033,30
1012320034,3
1012320036,3
1012320037,3
1012320055,34
1012320061,8
1012320064,2
1012327501,8
1012327502,20
1012330001,2
1012330016,143
1012330024,5
1012330027,70
1012330028,7
1012330029,28
1012330033,1
1012330058,8
1012330160,3
1012337501,3
1012350001,5
1012350002,20
1012350010,11
1012350026,4
1012350031,3
1012350032,4
1012350033,1
1012350034,5
1012350035,3
1012350037,10
1012350038,2
1012350039,3
1012350040,7
1012350041,5
1012350042,5
1012350061,73
1012350156,1
1012360010,102
1012360029,48
1012360032,1
1012360033,17
1012360034,18
1012360035,15
1012360036,11
1012360037,47
1012360044,22
1012360061,4
1012367502,20
1012367503,2
1012370005,2
1012370017,2
1012370029,2
1012370033,36
1012380001,9
1012380003,3
1012380007,5
1012380009,1
1012380046,61
1012380052,3
1012380054,7
1012380056,3
1012380057,1
1012380059,4
1012380061,5
1012380062,3
1012380101,3
1012380104,5
1012380106,2
1012380156,7
1012387501,17
1012387503,11
1012390004,13
1012390007,5
1012390010,1
1012390023,1
1012390027,5
1012390028,5
1012390029,5
1012390030,3
1012390031,3
1012390032,1
1012390033,6
1012390034,5
1012390035,3
1012390036,5
1012390044,21
1012390056,3
1012390058,9
1012390059,12
1012390105,2
1012390108,5
1012397501,4
1012397502,5
1012400010,66
1012400024,8
1012400029,23
1012400036,27
1012400052,286
1012400057,6
1012400156,7
1012407502,17
1012410001,18
1012410009,1
1012410010,38
1012410035,1
1012410036,1
1012410038,11
1012410046,15
1012410061,30
1012410106,3
1012420001,11
1012420003,6
1012420009,2
1012420010,570
1012420029,5
1012420031,2
1012420033,4
1012420034,4
1012420036,9
1012420040,14
1012420041,9
1012420042,8
1012420062,2
1012420128,12
1012429055,0
1012430010,1
1012430028,7
1012430030,1
1012430031,16
1012430032,2
1012430033,5
1012430034,4
1012430035,6
1012430036,2
1012430037,4
1012430038,5
1012430042,94
1012430061,32
1012430136,2
1012430139,18
1012440012,1
1012440027,3
1012440028,4
1012440029,2
1012440030,2
1012440034,3
1012440035,14
1012440059,8
1012440072,23
1012440081,14
1012440082,2
1012440090,56
1012440159,2
1012450003,15
1012450008,1
1012450010,9
1012450011,8
1012450013,2
1012450015,1
1012450025,1
1012450033,1
1012450034,9
1012450039,2
1012450040,10
1012450043,3
1012450045,2
1012450046,5
1012450059,1
1012450061,5
1012450069,1
1012450073,2
1012450075,93
1012450080,1
1012450086,0
1012450088,32
1012450091,1
1012450092,4
1012460001,28
1012460007,15
1012460015,2
1012460017,5
1012460018,7
1012460021,2
1012460024,1
1012460026,1
1012460027,1
1012460028,2
1012460029,4
1012460039,5
1012460044,14
1012460046,1
1012460053,8
1012460057,6
1012460115,9
1012460118,5
1012460123,1
1012470001,1
1012470010,33
1012470013,15
1012470015,27
1012470017,5
1012470018,1
1012470019,2
1012470020,2
1012470021,1
1012470029,56
1012470043,3
1012470119,1
1012470126,5
1012477501,4
1012477502,0
1012480001,1
1012480019,4
1012480022,8
1012480027,5
1012480029,1
1012480037,11
1012480039,9
1012480041,14
1012480045,2
1012480048,2
1012480051,8
1012480053,5
1012480153,3
1012490011,1
1012490013,3
1012490014,10
1012490018,5
1012490020,2
1012490022,14
1012490025,3
1012490026,1
1012490036,10
1012490037,2
1012490039,1
1012490040,1
1012490041,3
1012490042,3
1012490043,3
1012490044,1
1012490047,1
1012490048,2
1012490050,4
1012490051,4
1012490052,4
1012490053,4
1012490057,25
1012490115,8
1012490119,1
1012490146,4
1012490149,7
1012500001,0
1012500011,4
1012500012,1
1012500013,3
1012500014,5
1012500016,1
1012500017,1
1012500018,2
1012500021,2
1012500022,2
1012500023,3
1012500024,2
1012500030,59
1012500039,2
1012500040,2
1012500043,10
1012500045,7
1012500047,1
1012500050,2
1012500051,0
1012500052,1
1012500053,2
1012500055,3
1012500059,2
1012500060,1
1012500075,3
1012500077,1
1012500078,1
1012500080,6
1012500088,1
1012500101,4
1012500102,2
1012500105,1
1012500106,2
1012500110,6
1012500122,4
1012507503,5
1012507504,13
1012510008,5
1012510017,3
1012510018,4
1012510019,2
1012510028,8
1012510047,5
1012510048,4
1012510052,1
1012510062,4
1012510066,3
1012510071,1
1012510118,4
1012510166,7
1012517501,11
1012520001,15
1012520005,13
1012520008,2
1012520011,2
1012520014,3
1012520015,3
1012520016,2
1012520017,11
1012520020,10
1012520022,46
1012520024,94
1012520025,66
1012520027,106
1012520029,42
1012520034,8
1012520038,14
1012520041,2
1012520044,1
1012520057,43
1012520072,9
1012520075,2
1012530007,8
1012530016,3
1012530021,258
1012530045,14
1012530048,16
1012530064,5
1012530086,2
1012530088,10
1012530090,1
1012537503,64
1018320006,1
1018320013,15
1018320016,37
1018320025,0
1018320036,1
1018320043,181
1018327502,0
1018337501,51
1018337502,32
1018337503,94
1018337504,112
1018337505,112
1018337506,264
1018337507,126
1018360019,38
1018360020,38
1018360021,3
1018360023,0
1018360025,2
1018360026,1
1018360029,5
1018360031,5
1018360036,5
1018360037,5
1018360041,18
1018360043,18
1018360047,14
1018370021,0
1018370026,3
1018370027,20
1018370029,2
1018377501,7
1018380021,92
1018380022,0
1018380037,8
1018380038,32
1018380039,20
1018380040,3
1018380041,11
1018380042,7
1018380044,9
1018380045,20
1018380047,20
1018387501,5
1018387502,44
1018390018,26
1018390021,3
1018390022,2
1018390023,0
1018390026,7
1018390027,2
1018390028,8
1018390037,2
1018390041,1
1018390045,40
1018390125,3
1018400001,4
1018400003,10
1018400005,78
1018400010,4
1018400012,6
1018400029,2
1018400033,3
1018400035,78
1018400037,0
1018400039,4
1018400054,30
1018400055,33
1018400056,7
1018400059,10
1018400060,20
1018400153,6
1018400157,0
1018410001,0
1018410003,16
1018410004,24
1018410006,8
1018410007,10
1018410008,5
1018410010,7
1018410011,2
1018410023,18
1018410054,7
1018410055,4
1018410058,2
1018410059,1
1018410061,11
1018410062,16
1018410063,8
1018410064,2
1018410160,3
1018417502,0
1018420002,6
1018420003,2
1018420004,4
1018420005,7
1018420007,13
1018420010,16
1018420012,16
1018420013,0
1018420021,8
1018420029,22
1018420039,6
1018420042,0
1018420047,3
1018420051,0
1018420053,18
1018420055,21
1018420057,19
1018420062,4
1018420063,9
1018427501,5
1018427503,0
1018430001,3
1018430003,36
1018430004,12
1018430005,3
1018430014,44
1018430015,48
1018430016,36
1018430017,9
1018430020,0
1018430022,14
1018430025,0
1018430026,24
1018430029,10
1018430031,7
1018430032,5
1018430034,17
1018430036,2
1018430037,13
1018430040,13
1018430044,25
1018430055,6
1018430058,20
1018430060,7
1018430061,15
1018430062,7
1018430063,1
1018437501,2
1018440001,136
1018440005,38
1018440009,20
1018440020,0
1018440025,14
1018440027,9
1018440033,5
1018440055,60
1018440058,12
1018440155,14
1018450001,2
1018450004,5
1018450005,26
1018450007,24
1018450014,72
1018450058,8
1018510005,36
1018510008,245
1018510012,5
1018510016,8
1018510024,2
1018517501,28
1018520001,99
1018520020,138
1018520031,142
1018527501,658
1018527502,200
1018590015,0
1018590022,5
1018590023,3
1018590024,12
1018590027,20
1018590029,20
1018590030,20
1018590031,3
1018590033,4
1018590035,8
1018590037,7
1018590039,26
1018590046,0
1018590128,20
1018597501,112
1018600011,2
1018600026,5
1018600027,0
1018600028,4
1018600029,12
1018600031,6
1018600032,5
1018600033,6
1018600034,17
1018600035,2
1018600036,5
1018600057,43
1018600061,17
1018600063,5
1018600064,5
1018600128,2
1018610001,5
1018610003,13
1018610004,12
1018610005,5
1018610010,0
1018610020,2
1018610021,3
1018610024,3
1018610025,2
1018610027,2
1018610028,1
1018610029,2
1018610031,3
1018610032,6
1018610034,24
1018610057,20
1018610058,19
1018610059,13
1018610060,11
1018610061,11
1018610064,12
1018610121,2
1018620001,4
1018620002,13
1018620003,10
1018620061,6
1018620062,6
1018620063,2
1018620064,4
1018627501,50
1018630001,0
1018630002,0
1018630029,0
1018630037,38
1018630039,38
1018630041,38
1018630043,30
1018630045,4
1018630046,10
1018630047,20
1018630049,60
1018630052,13
1018630053,13
1018630054,2
1018630055,4
1018630056,4
1018630057,3
1018630058,1
1018630059,6
1018630060,3
1018630061,4
1018640009,0
1018640023,96
1018640036,0
1018640039,36
1018680001,58
1018680020,6
1018680040,11
1018680044,9
1018690001,10
1018690006,11
1018690029,16
1018690033,4
1018690034,1
1018690035,2
1018690036,1
1018690044,31
1018690059,4
1018690064,8
1018690104,7
1018690136,40
1018690137,40
1018697501,10
1018697502,2
1018697503,39
1018700001,8
1018700003,6
1018700005,1
1018700029,0
1018700030,5
1018700031,8
1018700032,1
1018700033,3
1018700035,10
1018700037,50
1018700042,44
1018700043,36
